"full.taxon"	"taxon"
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Subdoligranulum"	"Subdoligranulum"
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Escherichia.Shigella"	"Shigella"
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Faecalibacterium"	"Faecalibacterium"
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella"	"Collinsella"
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Dorea"	"Dorea"
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Agathobacter"	"Agathobacter"
"Bacteria.Verrucomicrobiota.Verrucomicrobiae.Verrucomicrobiales.Akkermansiaceae.Akkermansia"	"Akkermansia"
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.sensu.stricto.1"	"Clostridium sensu stricto 1"
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales.Tissierellales.Peptostreptococcaceae.Romboutsia"	"Romboutsia"
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae..Ruminococcus..torques.group"	"Ruminococcus torques group"
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Klebsiella"	"Klebsiella"
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Oscillospiraceae.UCG.002"	"Oscillospiraceae UCG 002"
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Enterobacter"	"Enterobacter"
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Erysipelotrichaceae.UCG.003"	"Erysipelotrichaceae UCG 003"
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Selenomonadales.Veillonellaceae.Dialister"	"Dialister"
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus"	"Enterococcus"
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Holdemanella"	"Holdemanella"
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Catenibacterium"	"Catenibacterium"
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus"	"Streptococcus"
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Blautia"	"Blautia"
"Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanobrevibacter"	"Methanobrevibacter"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella"	"Prevotella"
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Ruminococcus"	"Ruminococcus"
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Roseburia"	"Roseburia"
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Coprococcus"	"Coprococcus"
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.CAG.352"	"Ruminococcaceae CAG 352"
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae..Ruminococcus..gnavus.group"	"Ruminococcus gnavus group"
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales.Tissierellales.Peptostreptococcaceae.Intestinibacter"	"Intestinibacter"
"Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae.Succinivibrio"	"Succinivibrio"
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae.NK4A136.group"	"Lachnospiraceae NK4A136 group"
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Selenomonadales.Selenomonadaceae.Megamonas"	"Megamonas"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides"	"Bacteroides"
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Fusicatenibacter"	"Fusicatenibacter"
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Anaerostipes"	"Anaerostipes"
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Oscillospiraceae.NK4A214.group"	"Oscillospiraceae NK4A214 group"
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Selenomonadales.Veillonellaceae.Megasphaera"	"Megasphaera"
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Lachnoclostridium"	"Lachnoclostridium"
"Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae.Phascolarctobacterium"	"Phascolarctobacterium"
"Bacteria.Actinobacteriota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium"	"Bifidobacterium"
"Bacteria.Firmicutes.Clostridia.Christensenellales.Christensenellaceae.Christensenellaceae.R.7.group"	"Christensenellaceae R7 group"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides"	"Parabacteroides"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Alloprevotella"	"Alloprevotella"
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Selenomonadales.Veillonellaceae.Veillonella"	"Veillonella"
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus"	"Lactobacillus"
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae..Eubacterium..hallii.group"	"Eubacterium hallii group"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes"	"Alistipes"
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Oscillospiraceae.UCG.005"	"Oscillospiraceae UCG 005"
"Bacteria.Firmicutes.Bacilli.Staphylococcales.Staphylococcaceae.Staphylococcus"	"Staphylococcus"
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Lactococcus"	"Lactococcus"
"Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Haemophilus"	"Haemophilus"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Rikenellaceae.RC9.gut.group"	"Rikenellaceae RC9 gut group"
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Erysipelatoclostridium"	"Erysipelatoclostridium"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Barnesiellaceae.Barnesiella"	"Barnesiella"
"Bacteria.Spirochaetota.Spirochaetia.Spirochaetales.Spirochaetaceae.Treponema"	"Treponema"
"Bacteria.Actinobacteriota.Actinobacteria.Corynebacteriales.Corynebacteriaceae.Corynebacterium"	"Corynebacterium"
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Sutterellaceae.Sutterella"	"Sutterella"
"Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas"	"Pseudomonas"
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae..Clostridium..innocuum.group"	"Clostridium innocuum group"
"Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter"	"Acinetobacter"
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Porphyromonadaceae.Porphyromonas"	"Porphyromonas"
"Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Fusobacterium"	"Fusobacterium"
"Bacteria.Campilobacterota.Campylobacteria.Campylobacterales.Campylobacteraceae.Campylobacter"	"Campylobacter"
"Bacteria.Proteobacteria.Gammaproteobacteria.Oceanospirillales.Halomonadaceae.Halomonas"	"Halomonas"
"Bacteria.Campilobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter"	"Helicobacter"
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Yersiniaceae.Yersinia"	"Yersinia"
